"id","Parlament","OGD Portal","OGD Parlamentsdaten","Parlamentsmitglieder","Parlamentsmitglieder - Link","Interessenbindung","Interessbindung - Link","Kommissionen","Kommissionen - Link","Kommissionzugehörigkeit","Kommissionzugehörigkeit - Link","Vorstösse","Vorstösse - Link","Geschäfte","Geschäfte - Link","Regierungsoutput","Regierungsoutput - Link","Medienmitteilung","Medienmitteilungen - Link","Abstimmungen (Parlament)","Abstimmungen (Parlament) - Link","Kontakt Parlamentsdienste","Content Management System","Kommentar",
"6","BE","https://opendata.swiss/en/organization/kanton-bern-2",,"2","https://www.gr.be.ch/de/start/grosser-rat/mitglieder/mitgliedersuche.html","1","https://www.gr.be.ch/de/start/grosser-rat/mitglieder.html","2","https://www.gr.be.ch/de/start/grosser-rat/organisation/kommissionen.html","1","https://www.gr.be.ch/de/start/grosser-rat/organisation/kommissionen.html","2","https://www.gr.be.ch/de/start/geschaefte/nach-geschaeftsarten/parlamentarische-vorstoesse.html","2","https://www.gr.be.ch/de/start/geschaefte/nach-geschaeftsarten/parlamentarische-vorstoesse.html","1","https://www.rr.be.ch/de/start/beschluesse/beschluesse-unterlagen-nach-sitzungen/sitzungs-detail?guid=1c57cea8b22f411d86becae311cdab86","1","https://www.gr.be.ch/de/start/grosser-rat/aktuell.html","2","https://www.tagblatt.gr.be.ch/shareparl","gr-gc@be.ch","https://www.kaio.fin.be.ch/de/start.html","Abstimmungsresultate in der Wortmeldung als Namensliste"
"1","AG","https://www.ag.ch/de/themen/datenportal",,"3","https://www.ag.ch/grossrat/grweb/de/164/Ratsmitglieder?ResetBreadCrumbs=T","2","https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=117121","2","https://www.ag.ch/grossrat/grweb/de/163/Kommissionen?ResetBreadCrumbs=T","3","https://www.ag.ch/grossrat/grweb/de/193/Detail%20Kommission?KommissionId=284","2","https://www.ag.ch/grossrat/grweb/de/196/Gesch%C3%A4fte?ResetBreadCrumbs=T&ResetFilter=T","2","https://www.ag.ch/grossrat/grweb/de/196/Gesch%C3%A4fte?ResetBreadCrumbs=T&ResetFilter=T",,,"1","https://www.ag.ch/de/aktuell/medien/medienmitteilungen?; https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mandantIds=14870323-daf6-48ac-b1ff-ff1f472d724f","1","https://www.ag.ch/grossrat/grweb/de/171/Sitzungen%20GR?ResetBreadCrumbs=T; https://www.ag.ch/grossrat/grweb/de/195/Detail%20Gesch%C3%A4ft?ProzId=5847694",,,"Interessenbindung ist in Profile Information Private Ämter"
"2","AR",,,"2","https://www.ar.ch/kantonsrat/mitglieder-des-kantonsrates/","2","https://www.ar.ch/kantonsrat/mitglieder-des-kantonsrates/mitglied/#?contact=effdbcefdd004d74b4ee53357c1337f1","2","https://www.ar.ch/kantonsrat/kommissionen/","2","https://www.ar.ch/kantonsrat/kommissionen/staendige-kommissionen-des-kantonsrates/","2","https://www.ar.ch/kantonsrat/geschaeftssuche/#dateFrom=20130601&dateTo=20230323&sorting=von_start/sort.descending&currentPage=2","2","https://www.ar.ch/kantonsrat/geschaeftssuche/#dateFrom=20130601&dateTo=20230323&sorting=von_start/sort.descending&currentPage=2",,,"2","https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/","1","https://www.ar.ch/kantonsrat/sitzungen/traktanden/#session=d4dcd63a534b492db977a750a3e3b8b1",,"http://www.snowflake.ch/",
"3","AI",,,"2","https://www.ai.ch/politik/grosser-rat#mitglieder-1",,,"2","https://www.ai.ch/politik/grosser-rat/komissionen","2","https://www.ai.ch/politik/grosser-rat/komissionen/staatswirtschaftliche-kommission",,,"2","https://www.ai.ch/politik/grosser-rat/geschaefte-grosser-rat",,,"1","https://www.ai.ch/politik/grosser-rat/medienmitteilungen-grosser-rat",,,,"http://www.4teamwork.ch/",
"4","BL",,,"2","https://www.baselland.ch/politik-und-behorden/landrat-parlament/personelles/landratsmitglieder",,,"2","https://www.baselland.ch/politik-und-behorden/landrat-parlament/personelles/gremien","2","https://www.baselland.ch/politik-und-behorden/landrat-parlament/personelles/landratsmitglieder","2","https://www.baselland.ch/politik-und-behorden/landrat-parlament/geschafte/geschaefte-ab-juli-2015","2","https://www.baselland.ch/politik-und-behorden/landrat-parlament/geschafte/geschaefte-ab-juli-2015","2","https://www.baselland.ch/politik-und-behorden/regierungsrat","2","https://www.baselland.ch/ftw-news-newslistingblock/news_listing","1","https://www.baselland.ch/politik-und-behorden/landrat-parlament/sitzungen/traktandenlisten-und-protokolle-ab-november-2017",,"https://www.4teamwork.ch/",
"5","BS","https://www.opendata.bs.ch",,"2","https://grosserrat.bs.ch/mitglieder","1","https://grosserrat.bs.ch/images/dateien/Interessenbindungen/interessenbindungen_2022.pdf","2","https://grosserrat.bs.ch/gremien/sachkommissionen","2","https://grosserrat.bs.ch/images/dateien/broschuere/kommissionen_zusammensetzung_20230315.pdf","2","https://grosserrat.bs.ch/ratsbetrieb/neue-vorstoesse","2","https://grosserrat.bs.ch/ratsbetrieb/neue-berichte-und-schreiben","2","https://www.regierungsrat.bs.ch/geschaefte.html","2","https://www.regierungsrat.bs.ch/-medienmitteilungen.html","3","https://data.bs.ch/explore/dataset/100186/table/?disjunctive.traktandum&disjunctive.subtraktandum&disjunctive.geschaeft&disjunctive.abst_nr&disjunctive.typ&disjunctive.sitz_nr&disjunctive.mitglied_name&disjunctive.fraktion&disjunctive.mitglied_name_fraktion&disjunctive.entscheid_mitglied&sort=zeitstempel_text",,,
"7","FR","https://opendata.swiss/de/organization/kanton_freiburg",,"2","https://www.parlinfo.fr.ch/de/mitglieder/behoerdenmitglieder/","2",,"2","https://www.parlinfo.fr.ch/de/organisation/kommissionen/staendigefach/","2",,"2","https://www.parlinfo.fr.ch/de/politbusiness/parlamentvorstoesse/","2","https://www.parlinfo.fr.ch/de/politbusiness/",,,"2","https://www.fr.ch/de/staat-und-recht/transparenz-und-datenschutz/medienmitteilungen","1","https://www.fr.ch/de/staat-und-recht/parlament/amtliches-tagblatt-der-sitzungen-des-grossen-rates-tgr",,,"Interessenbindung ist auf HTML-Seite der Mitglieder / Abstimmungen im Tagesprotokoll der Sitzungen aufgeführt"
"8","GE","https://opendata.swiss/en/organization/canton-geneve/?groups=population",,"2","https://ge.ch/grandconseil/gc/deputes/partis/plr","2",,"2","https://ge.ch/grandconseil/gc/commissions/","2","https://ge.ch/grandconseil/gc/commissions/","2","https://ge.ch/grandconseil/memorial/recherche/","2","https://ge.ch/grandconseil/memorial/recherche/","2","https://www.ge.ch/publication?type=460&organisation=497","4","https://www.ge.ch/publication","2","https://ge.ch/grandconseil/sessions/seances/2023/020510",,,"Interessenbindung ist auf HTML-Seite der Mitglieder"
"9","GL","https://opendata.swiss/de/organization/kanton-glarus",,"2","https://www.gl.ch/parlament/landrat/mitglieder-des-landrates-20222026.html/234","1","https://www.gl.ch/public/upload/assets/47547/230315%20Interessenbindungen.pdf?fp=1","2","https://www.gl.ch/parlament/landrat/landraetlichekommissionen-20222026.html/237","2","https://www.gl.ch/parlament/landrat/landraetlichekommissionen-20222026.html/237","2","https://www.gl.ch/parlament/landrat/geschaefte/vorstoesse.html/248","2","https://www.gl.ch/parlament/landrat/geschaefte.html/249","1","https://www.gl.ch/regierung/taetigkeitsberichte.html/263","2","https://www.gl.ch/public-newsroom.html/30#main","Nicht Vorhanden",,,,
"10","GR","https://opendata.swiss/de/organization/kanton-graubuenden",,"2","https://www.gl.ch/public-newsroom.html/30#main","2",,"2","https://www.gr.ch/DE/institutionen/parlament/organisation/Seiten/StaendigeKommissionen.aspx","2","https://www.gr.ch/DE/institutionen/parlament/organisation/Seiten/StaendigeKommissionen.aspx","2","https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/Parlamentarische_Vorstoesse.aspx","2","https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/Parlamentarische_Vorstoesse.aspx","1","https://www.gr.ch/DE/institutionen/parlament/botschaften/2021-2030/Seiten/Botschaften2022_2023.aspx","2","https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/Seiten/Aktuell.aspx","3","https://www.gr.ch/DE/institutionen/parlament/abstimmungen/Seiten/2023.aspx",,,"Interessenbindung ist auf HTML-Seite der Mitglieder"
